[["","defeated","helpless","powerless","exhausted","","","","content","","fufilled"],
["","depressed","","","","lazy","grounded","","","",""],
["","","discouraged","","fatigue","","relaxed","calm","","satisfied",""],
["","aching","","hurt","tired","bored","","","thankful","",""],
["","heartbroken","","","","","","","","","",""],
["grieving","","sad","","unhappy","neutral","","glad","happy","",""],
["","","","nervous","","balanced","kind","","","",""],
["","","","irratated","uneasy","","open-minded","","","",""],
["","angry","frustrated","","","","","anticipating","ready","",""],
["","disgusted","","annoyed","impatient","","excited","","","enthusiastic",""],
["furious","","agitated","","restless","","","","strong","","matchless"]]
